playlist_id,name,description,url
37i9dQZF1EIdgqvd8Qfc5i,Chill Jazz Mix,Chill Jazz music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIdgqvd8Qfc5i
37i9dQZF1DWYoYGBbGKurt,lofi chill,Lazy slow lofi beats for laid-back moments.,https://open.spotify.com/playlist/37i9dQZF1DWYoYGBbGKurt
37i9dQZF1DWZa8CSUr0hCY,Chill Beats,Laissez-vous porter par la playlist lo-fi,https://open.spotify.com/playlist/37i9dQZF1DWZa8CSUr0hCY
37i9dQZF1DXdQvOLqzNHSW,late night vibes,slow burners for late nights,https://open.spotify.com/playlist/37i9dQZF1DXdQvOLqzNHSW
37i9dQZF1EIdNTvkcjcOzJ,Chill Instrumental Mix,Chill Instrumental music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIdNTvkcjcOzJ
37i9dQZF1DWX76Z8XDsZzF,Bollywood & Chill,"Sit back, and chill with Bollywood's easygoing hits.",https://open.spotify.com/playlist/37i9dQZF1DWX76Z8XDsZzF
37i9dQZF1EIgKXhXqo61vc,Chill Study Mix,Chill Study music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIgKXhXqo61vc
37i9dQZF1DX6lttj7ulLd6,Smooth Jazz Chill,Instrumental Smooth Jazz for relaxing.,https://open.spotify.com/playlist/37i9dQZF1DX6lttj7ulLd6
37i9dQZF1EIhPaSAWFO9R0,Indie Chill Mix,Indie Chill music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIhPaSAWFO9R0
37i9dQZF1DWU4EQPjP9ZpS,vaporwave,get lost in the  a e s t h e t i c ,https://open.spotify.com/playlist/37i9dQZF1DWU4EQPjP9ZpS
1NjQR0evUqgnVWOQVn8cci,Chill Rap & Hip Hop,"Rap and Hip hop vibes for chilling and smoking. Enjoy Mac Miller, Vince Staples, Kendrick Lamar, Drake, J. Cole, Isaiah Rashad, Earl Sweatshirt, and more 🔊",https://open.spotify.com/playlist/1NjQR0evUqgnVWOQVn8cci
37i9dQZF1DX82pCGH5USnM,Lounge - Soft House,Soft house music for your laidback moments.,https://open.spotify.com/playlist/37i9dQZF1DX82pCGH5USnM
37i9dQZF1EIgB0JpezkeCY,Soft Country Mix,Soft Country music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIgB0JpezkeCY
37i9dQZF1DWZZbwlv3Vmtr,Focus Flow,Uptempo instrumental hip hop beats.,https://open.spotify.com/playlist/37i9dQZF1DWZZbwlv3Vmtr
37i9dQZF1EIgxFcgtGrFBh,Chill Late Night Rap Mix,Chill Late Night Rap music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIgxFcgtGrFBh
37i9dQZF1DWYRcvdDwEl3O,Chilled Focus,"Focus, study or let yourself daydream to these atmospheric, instrumental tracks. ",https://open.spotify.com/playlist/37i9dQZF1DWYRcvdDwEl3O
37i9dQZF1DX2V97dgq1s0W,Riffs & Runs,Beautifully chilled vocals from around the world. Cover: Kali Claire & Shae Universe,https://open.spotify.com/playlist/37i9dQZF1DX2V97dgq1s0W
37i9dQZF1EIcKISNgRDQog,Chill Workout Mix,Chill Workout music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIcKISNgRDQog
37i9dQZF1DXdbizRAR17Ui,4AM Chillout,When the night isn't over just yet.,https://open.spotify.com/playlist/37i9dQZF1DXdbizRAR17Ui
5HOitcztsmc74UHgbKfwfn,Chillstep 2023,"Best instrumental and vocal chill step mix with epic songs and remixes to relax, chill and study.",https://open.spotify.com/playlist/5HOitcztsmc74UHgbKfwfn
37i9dQZF1DX6Z0nWFAx7KL,Dance Chill,You can dance or chill.,https://open.spotify.com/playlist/37i9dQZF1DX6Z0nWFAx7KL
6cGy1S2lCJUZBnlxWtvzjX,taylor swift’s chill & relaxing vibes playlist,"",https://open.spotify.com/playlist/6cGy1S2lCJUZBnlxWtvzjX
37i9dQZF1DX1qNZsqIInBz,cosmic phonk,smooth drifting only,https://open.spotify.com/playlist/37i9dQZF1DX1qNZsqIInBz
37i9dQZF1EIe2ceLcSTU5B,Feel Good Chill Pop Mix,Feel Good Chill Pop music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIe2ceLcSTU5B
37i9dQZF1DXdk2DZvqpqJY,Chill Out Jazz,Swinging jazz for relaxing and unwinding.,https://open.spotify.com/playlist/37i9dQZF1DXdk2DZvqpqJY
37i9dQZF1DX8qVlPzYQL5d,Relaxing Mozart,"A stress-free, calming introduction to Mozart, perfect for relaxation, study, and all sorts of mindful activities.",https://open.spotify.com/playlist/37i9dQZF1DX8qVlPzYQL5d
37i9dQZF1EId7X707AWDvX,Chill Work Mix,Chill Work music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EId7X707AWDvX
37i9dQZF1DX9h1d4VhVGeh,Arabic Coffee,"Sabah al khair, start your day with extra cardamom and mellow tunes.",https://open.spotify.com/playlist/37i9dQZF1DX9h1d4VhVGeh
0RHfBBUnAECI9EsqA1IoPi,Chillhop Music 2023,Chill Hop Music Playlist.,https://open.spotify.com/playlist/0RHfBBUnAECI9EsqA1IoPi
37i9dQZF1DX1jlzMTQ2PY5,Chilled Drum & Bass,Escape with these melodic liquid drum & bass beats. (photo from Hubble Space Project),https://open.spotify.com/playlist/37i9dQZF1DX1jlzMTQ2PY5
7gsbDEtjvOm9BTXF3Kjmci,Chill EDM / Good Driving Music,"Good edm music to vibe to and to drive to. Includes Illenium, Odesza, Flume, and many many more ",https://open.spotify.com/playlist/7gsbDEtjvOm9BTXF3Kjmci
37i9dQZF1DX9ND1QF5hZNF,Electro Chill,Evadez-vous tout en douceur...,https://open.spotify.com/playlist/37i9dQZF1DX9ND1QF5hZNF
37i9dQZF1DWTDN0nsQnic1,Shimmer,"Lush, shimmery guitars. Cover: Ichika Nito",https://open.spotify.com/playlist/37i9dQZF1DWTDN0nsQnic1
37i9dQZF1DXdPDLmy88MDk,Soft Instrumental,Gentle instrumental tunes.,https://open.spotify.com/playlist/37i9dQZF1DXdPDLmy88MDk
37i9dQZF1DXb7KOnsvmh8V,Christmas Coffeehouse,'Tis the season to settle in with a warm cup of coffee and these stripped down holiday tunes.,https://open.spotify.com/playlist/37i9dQZF1DXb7KOnsvmh8V
37i9dQZF1DXamBAn43YNB9,Chilled Country,Craving that crisp country air? These low-key Country songs will take you there.,https://open.spotify.com/playlist/37i9dQZF1DXamBAn43YNB9
37i9dQZF1DXdbkmlag2h7b,DayDreamer,Drift away with enthralling instrumentals.,https://open.spotify.com/playlist/37i9dQZF1DXdbkmlag2h7b
37i9dQZF1DXa1BeMIGX5Du,Coffee + Chill,"The perfectly brewed cup, the perfect songs to match. Your happy place is right here.",https://open.spotify.com/playlist/37i9dQZF1DXa1BeMIGX5Du
37i9dQZF1DWVG2wQBfGuGj,Ibiza Lounge,Surrender to the chill of the White Island with these laid-back house and nu-disco groovers. ,https://open.spotify.com/playlist/37i9dQZF1DWVG2wQBfGuGj
1kqBP6eE24L0agNpnTIKtc,Ambient Chill,"Curated for sleep, study, focus &amp; relaxation. No beats, no vocals and no distractions.Packed full of the most beautiful &amp; relaxing Ambient based tracks we discover. Updated often with new finds.",https://open.spotify.com/playlist/1kqBP6eE24L0agNpnTIKtc
37i9dQZF1DWYGZAMYFDM8S,Acoustic Chill,"Keep calm with this mix of laidback, acoustic tracks.",https://open.spotify.com/playlist/37i9dQZF1DWYGZAMYFDM8S
37i9dQZF1DXdWMJMjqz9bm,Varsity Bars,"A little bit of pop, a little bit of rap. Cover: Connor Price & Nic D",https://open.spotify.com/playlist/37i9dQZF1DXdWMJMjqz9bm
6mgWUWQhvRnkuxUZaE96vZ,Morning Chill ☕,"The best Morning Chill music to start your day right. Morning Music, Morning Playlist, Morning Songs, Morning Vibes, Morning Coffee, Good Morning, Ochtend, Guten Morgen, Wach Auf, Matin, Mañana, Summer Music, Sommer, Chill House, Chillout, Beach Music, Happy Music, Lounge, Relaxing Music",https://open.spotify.com/playlist/6mgWUWQhvRnkuxUZaE96vZ
37i9dQZF1DX2m4xSMtooam,Bossa Chill,Relax to the sweet and soothing sound of Bossa nova.,https://open.spotify.com/playlist/37i9dQZF1DX2m4xSMtooam
37i9dQZF1DX3AQIJcCkXwU,Indian Chill,"Sitar, flute, and sounds inspired by India.",https://open.spotify.com/playlist/37i9dQZF1DX3AQIJcCkXwU
0AIovh0Qq1sUP7YfhxTDhw,Winter Chill | cozy lofi vibes | lofi winter | relaxing chill beats | winter jazz chillhop beats,A relaxing collection of cozy lofi instrumentals and jazzhop/chillhop vibes. Soft beats with laid-back jazz influences.,https://open.spotify.com/playlist/0AIovh0Qq1sUP7YfhxTDhw
37i9dQZF1DWYzTSrc7SiSZ,Chill Latino,Get the chill vibes going and flowing ✨ Las vibras tranqui que ocupas en tu vida.,https://open.spotify.com/playlist/37i9dQZF1DWYzTSrc7SiSZ
37i9dQZF1DWVFJtzvDHN4L,Cinematic Chillout,Relaxing soundtracks to help you escape and unwind. ,https://open.spotify.com/playlist/37i9dQZF1DWVFJtzvDHN4L
37i9dQZF1DXb83YJL7gTWj,Chill Dinner,Press play and enjoy a relaxing meal. Easy!,https://open.spotify.com/playlist/37i9dQZF1DXb83YJL7gTWj
37i9dQZF1DWX8l0PIEOYVj,Bass Lounge,Future & melodic bass. Cover: SLANDER.,https://open.spotify.com/playlist/37i9dQZF1DWX8l0PIEOYVj
37i9dQZF1DX5CdVP4rz81C,Fresh & Chill,Discover your favorite new chill pop songs. Cover: Alexander Stewart,https://open.spotify.com/playlist/37i9dQZF1DX5CdVP4rz81C
41Gm2p4wvUx6pK2rjHtNHB,shower chill,"",https://open.spotify.com/playlist/41Gm2p4wvUx6pK2rjHtNHB
37i9dQZF1DX8hhMi0eJdu5,Café Chillout,"Relax thuis of onderweg met soul, hiphop en indie.",https://open.spotify.com/playlist/37i9dQZF1DX8hhMi0eJdu5
2dtM3NEJ3HjRWiwbOBgl9x,"ZEN  CHILL ~ Ambient,  Chillout, Neoclassic, Chillhop & Downtempo music  for  chill, relax & focus",Relax your mind. Calm down. Focus. Drift away. Chill. Submissions: https://linktr.ee/zenchill,https://open.spotify.com/playlist/2dtM3NEJ3HjRWiwbOBgl9x
37i9dQZF1DWXrDQedVqw6q,Reading Chill Out,Calm music to help you focus on your reading.,https://open.spotify.com/playlist/37i9dQZF1DWXrDQedVqw6q
37i9dQZF1EIhgfi5yT3B9p,Chill Holiday Mix,Chill Holiday music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIhgfi5yT3B9p
1P6CeCHmykWbW7o9vCb0ad,chills,these songs give you chills,https://open.spotify.com/playlist/1P6CeCHmykWbW7o9vCb0ad
7ozIozDp260fjNOZy1yzRG,Chillout 2023,"Chill Out Summer Songs and Relaxing Music 2023. 🌞Regular updates include Deep House, Chill Music, Tropical Sounds and Electronic Music 😎– Electronica, Relaxing Songs, Chill Mix, Lounge Music, Beach Music, Cafe Music, Chill Out Music Playlist, Relaxed Beats.",https://open.spotify.com/playlist/7ozIozDp260fjNOZy1yzRG
37i9dQZF1DWWQRwui0ExPn,lofi beats,"chill beats, lofi vibes, new tracks every week... ",https://open.spotify.com/playlist/37i9dQZF1DWWQRwui0ExPn
37i9dQZF1DWTcEjayzrZ4x,Lazy Jazz Cat,Relaxing instrumental Jazz with a cool and soft sound.,https://open.spotify.com/playlist/37i9dQZF1DWTcEjayzrZ4x
37i9dQZF1DX4TNDxNzIjRm,Jangueo,Cuando el jangueo está mejor que la fiesta. Hanging out jams.,https://open.spotify.com/playlist/37i9dQZF1DX4TNDxNzIjRm
37i9dQZF1DX8NMUtC3b3gL,lofi summer haze,beautiful beats for beautiful moments. ,https://open.spotify.com/playlist/37i9dQZF1DX8NMUtC3b3gL
37i9dQZF1DXa9xHlDa5fc6,License To Chill,unwind with these alternative favorites and new discoveries.,https://open.spotify.com/playlist/37i9dQZF1DXa9xHlDa5fc6
1YIe34rcmLjCYpY9wJoM2p,Synthwave 🌌 - beats to chill/game to,A selection of carefully selected synthwave tracks to recharge your inspiration upon returning to the present 🌌,https://open.spotify.com/playlist/1YIe34rcmLjCYpY9wJoM2p
37i9dQZF1DWV1PBrIG2weG,Chill 2023,Relájate y deja que la música te acompañe.,https://open.spotify.com/playlist/37i9dQZF1DWV1PBrIG2weG
37i9dQZF1DX2UXfvEIZvDK,Chill Rock,Even rockers need a break.,https://open.spotify.com/playlist/37i9dQZF1DX2UXfvEIZvDK
37i9dQZF1EIeRqxXS7YMno,Chill Shower Mix,Chill Shower music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIeRqxXS7YMno
37i9dQZF1DWYtKpmml7moA,Chilled Reggae,Simmer down with this relaxing selection of old and new Reggae.,https://open.spotify.com/playlist/37i9dQZF1DWYtKpmml7moA
37i9dQZF1EIWSdyhuzDdRh,R3 DA Chilliman Mix,"<a href=spotify:playlist:37i9dQZF1EIW9hkAqnC0Ys>ASM Bopster</a>, <a href=spotify:playlist:37i9dQZF1EIX7EYIlf3fbs>BlueBucksClan</a> and <a href=spotify:playlist:37i9dQZF1EIUBq3YKGpGUa>Tr3yway6k</a>",https://open.spotify.com/playlist/37i9dQZF1EIWSdyhuzDdRh
37i9dQZF1DWXpOtMyVOt4Q,Chill Gaming,Chill tunes to soundtrack your gaming session.,https://open.spotify.com/playlist/37i9dQZF1DWXpOtMyVOt4Q
37i9dQZF1DWVl5gPCRkquk,Chill Folk,Channel some chilled-out back yard vibes.,https://open.spotify.com/playlist/37i9dQZF1DWVl5gPCRkquk
0ukjw8VRID3PchmDIybWXg,Chill sleeping rap😴,Thank you everyone for 10k :),https://open.spotify.com/playlist/0ukjw8VRID3PchmDIybWXg
37i9dQZF1DWVUxkQFrGCkK,Umami,Chill & Bumpy,https://open.spotify.com/playlist/37i9dQZF1DWVUxkQFrGCkK
0cyH0TxFDgCQ2gQbs6shh2,Japanese Lofi Chill,"<a href=""https://qrates.com/projects/28196-koyo"">Click here to get your Japanese Lofi Vinyl</a> Tags: Lo-fi beats hip-hop hop chilling relaxing studying oriental Asian Chinese jazzy anime vibes mood tunes sleeping meditation focus concentration avatar lernen dinner cooking ghibli samurai",https://open.spotify.com/playlist/0cyH0TxFDgCQ2gQbs6shh2
37i9dQZF1DWValJmYBKiAM,Latin Chillout 00s,Relax to the the rhythm of these smooth Latin tunes of the 2000s.,https://open.spotify.com/playlist/37i9dQZF1DWValJmYBKiAM
37i9dQZF1DWWQp0YMTvpD3,Mellow House,"Uplifting, slow House music to work or relax to. ",https://open.spotify.com/playlist/37i9dQZF1DWWQp0YMTvpD3
37i9dQZF1DX6pJ4E78jhBi,Relaxing Christmas,Relax to these chilled instrumental Christmas tunes. ,https://open.spotify.com/playlist/37i9dQZF1DX6pJ4E78jhBi
37i9dQZF1DX79Y9Kr2M2tM,Chill + Atmospheric,Float away on heady orchestrations and haunting harmonies...,https://open.spotify.com/playlist/37i9dQZF1DX79Y9Kr2M2tM
37i9dQZF1DWWhuJcTXO5hW,Chill-oud,The most chill instrumental oud sounds.,https://open.spotify.com/playlist/37i9dQZF1DWWhuJcTXO5hW
7wDZ5nB0Wb1tcoloILplN8,Chill House 2024 🌴🌊🎧,"Escape the chaos, embrace the deep chill vibes. Dive into the rhythmic sanctuary of our Chill House playlist – where every beat echoes tranquility and every note whispers serenity. New music added weekly. Instagram -  <a href=""https://www.instagram.com/chillyourmind"">@ChillYourMind</a>",https://open.spotify.com/playlist/7wDZ5nB0Wb1tcoloILplN8
37i9dQZF1DXbcgQ8d7s0A0,Sweet Soul Chillout,Chill out to the sweetest soul songs.,https://open.spotify.com/playlist/37i9dQZF1DXbcgQ8d7s0A0
37i9dQZF1DX7ZnTv0GKubq,Spotify & Chill,"Late night chilled vibes, for those intimate moments.",https://open.spotify.com/playlist/37i9dQZF1DX7ZnTv0GKubq
37i9dQZF1DX32oVqaQE8BM,Chill Out Music,The ultimate chill out playlist.,https://open.spotify.com/playlist/37i9dQZF1DX32oVqaQE8BM
3RODhIJRKXTE8e36QxYKu5,Chill playlists 🥤,Mixed playlist ,https://open.spotify.com/playlist/3RODhIJRKXTE8e36QxYKu5
37i9dQZF1EIezDiok7dr1S,Chill Bath Mix,Chill Bath music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIezDiok7dr1S
